"","yr","mon","mn_amt"
"12",2014,1,159.231603
"13",2014,2,125.089361
"14",2014,3,126.989964
"15",2014,4,94.198496
"16",2014,5,94.739658
"17",2014,6,90.873043
"18",2014,7,84.662855
"19",2014,8,115.363193
"20",2014,9,110.56204
"21",2014,10,99.604031
"22",2014,11,159.046499
"23",2014,12,153.985515
"24",2015,1,167.196787
"25",2015,2,139.797035
"26",2015,3,138.791972
"27",2015,4,85.876445
"28",2015,5,96.106349
"29",2015,6,74.177271
"30",2015,7,86.379628
"31",2015,8,87.41978
"32",2015,9,99.285157
"33",2015,10,108.297698
"34",2015,11,139.000695
"35",2015,12,161.369242
"1",2016,1,303.5172
"2",2016,2,237.232499
"3",2016,3,242.819901
"4",2016,4,205.168271
"5",2016,5,222.553712
"6",2016,6,196.987271
"7",2016,7,203.870715
"8",2016,8,224.884276
"9",2016,9,201.391487
"10",2016,10,111.364259
"11",2016,11,2.7
